Prototype         BuildTime Lifetime Number
slow_reactor      1         320      10
slow_reactor      8         320      2
slow_reactor      15        320      2
slow_reactor      22        320      2
slow_reactor      29        320      2
slow_reactor      36        320      2
slow_reactor      43        320      2
slow_reactor      50        320      2
slow_reactor      57        320      3
slow_reactor      64        320      2
slow_reactor      71        320      12
slow_reactor      78        320      12
slow_reactor      85        320      13
slow_reactor      92        320      7
slow_reactor      99        320      13
slow_reactor      106       320      7
slow_reactor      113       320      3
slow_reactor      120       320      2
slow_reactor      127       320      3
slow_reactor      134       320      2
fast_reactor      141       320      8
fast_reactor      148       320      7
fast_reactor      155       320      7
fast_reactor      162       320      7
fast_reactor      169       320      7
fast_reactor      176       320      7
fast_reactor      183       320      8
fast_reactor      190       320      33
fast_reactor      197       320      32
fast_reactor      204       320      21
fast_reactor      211       320      33
fast_reactor      218       320      33
fast_reactor      225       320      21
fast_reactor      232       320      8
fast_reactor      239       320      9
fast_reactor      246       320      9
fast_reactor      253       320      9
fast_reactor      260       320      9
fast_reactor      267       320      9
fast_reactor      274       320      10
fast_reactor      281       320      9
fast_reactor      288       320      10
fast_reactor      295       320      10
fast_reactor      302       320      10
fast_reactor      309       320      10
fast_reactor      316       320      11
fast_reactor      323       320      35
fast_reactor      330       320      16
fast_reactor      337       320      16
fast_reactor      344       320      17
fast_reactor      351       320      16
fast_reactor      358       320      17
fast_reactor      365       320      16
fast_reactor      372       320      17
fast_reactor      379       320      20
fast_reactor      386       320      18
fast_reactor      393       320      42
fast_reactor      400       320      43
fast_reactor      407       320      46
fast_reactor      414       320      31
fast_reactor      421       320      46
fast_reactor      428       320      31
fast_reactor      435       320      22
fast_reactor      442       320      19
fast_reactor      449       320      22
fast_reactor      456       320      20
fast_reactor      463       320      23
fast_reactor      470       320      23
fast_reactor      477       320      22
fast_reactor      484       320      23
fast_reactor      491       320      24
fast_reactor      498       320      23
fast_reactor      505       320      25
fast_reactor      512       320      50
fast_reactor      519       320      49
fast_reactor      526       320      39
fast_reactor      533       320      51
fast_reactor      540       320      52
fast_reactor      547       320      39
fast_reactor      554       320      27
fast_reactor      561       320      29
fast_reactor      568       320      28
fast_reactor      575       320      29
fast_reactor      582       320      30
fast_reactor      589       320      29
fast_reactor      596       320      31
fast_reactor      603       320      31
fast_reactor      610       320      32
fast_reactor      617       320      32
fast_reactor      624       320      33
fast_reactor      631       320      33
fast_reactor      638       320      34
fast_reactor      645       320      59
fast_reactor      652       320      40
fast_reactor      659       320      41
fast_reactor      666       320      42
fast_reactor      673       320      41
fast_reactor      680       320      44
fast_reactor      687       320      42
fast_reactor      694       320      44
fast_reactor      701       320      47
fast_reactor      708       320      46
fast_reactor      715       320      71
fast_reactor      722       320      72
fast_reactor      729       320      75
fast_reactor      736       320      61
fast_reactor      743       320      76
fast_reactor      750       320      62
fast_reactor      757       320      54
fast_reactor      764       320      51
fast_reactor      771       320      55
fast_reactor      778       320      53
fast_reactor      785       320      57
fast_reactor      792       320      57
fast_reactor      799       320      57
init_slow_reactor 1         64       5
init_slow_reactor 1         68       5
init_slow_reactor 1         72       5
init_slow_reactor 1         76       5
init_slow_reactor 1         80       5
init_slow_reactor 1         84       5
init_slow_reactor 1         88       5
init_slow_reactor 1         92       5
init_slow_reactor 1         96       5
init_slow_reactor 1         100      5
init_slow_reactor 1         184      5
init_slow_reactor 1         188      5
init_slow_reactor 1         192      5
init_slow_reactor 1         196      5
init_slow_reactor 1         200      5
init_slow_reactor 1         204      5
init_slow_reactor 1         208      5
init_slow_reactor 1         212      5
init_slow_reactor 1         216      5
init_slow_reactor 1         220      5
slow_separations  60        -1       2
slow_separations  100       -1       1
fast_separations  1         -1       1
fastfab           1         -1       1
repo              1         -1       1
enrichment        1         -1       1
depleted_src      1         -1       1
slow_storage      1         -1       1
fast_storage      1         -1       1
