Prototype         BuildTime Lifetime Number
slow_reactor      1         960      10
slow_reactor      22        960      2
slow_reactor      43        960      2
slow_reactor      64        960      2
slow_reactor      85        960      2
slow_reactor      106       960      2
slow_reactor      127       960      2
slow_reactor      148       960      2
slow_reactor      169       960      3
slow_reactor      190       960      2
slow_reactor      211       960      12
slow_reactor      232       960      12
slow_reactor      253       960      13
slow_reactor      274       960      7
slow_reactor      295       960      13
slow_reactor      316       960      7
slow_reactor      337       960      3
slow_reactor      358       960      2
slow_reactor      379       960      3
slow_reactor      400       960      2
fast_reactor      421       960      8
fast_reactor      442       960      7
fast_reactor      463       960      7
fast_reactor      484       960      7
fast_reactor      505       960      7
fast_reactor      526       960      7
fast_reactor      547       960      8
fast_reactor      568       960      33
fast_reactor      589       960      32
fast_reactor      610       960      21
fast_reactor      631       960      33
fast_reactor      652       960      33
fast_reactor      673       960      21
fast_reactor      694       960      8
fast_reactor      715       960      9
fast_reactor      736       960      9
fast_reactor      757       960      9
fast_reactor      778       960      9
fast_reactor      799       960      9
fast_reactor      820       960      10
fast_reactor      841       960      9
fast_reactor      862       960      10
fast_reactor      883       960      10
fast_reactor      904       960      10
fast_reactor      925       960      10
fast_reactor      946       960      11
fast_reactor      967       960      35
fast_reactor      988       960      16
fast_reactor      1009      960      16
fast_reactor      1030      960      17
fast_reactor      1051      960      16
fast_reactor      1072      960      17
fast_reactor      1093      960      16
fast_reactor      1114      960      17
fast_reactor      1135      960      20
fast_reactor      1156      960      18
fast_reactor      1177      960      42
fast_reactor      1198      960      43
fast_reactor      1219      960      46
fast_reactor      1240      960      31
fast_reactor      1261      960      46
fast_reactor      1282      960      31
fast_reactor      1303      960      22
fast_reactor      1324      960      19
fast_reactor      1345      960      22
fast_reactor      1366      960      20
fast_reactor      1387      960      23
fast_reactor      1408      960      23
fast_reactor      1429      960      22
fast_reactor      1450      960      23
fast_reactor      1471      960      24
fast_reactor      1492      960      23
fast_reactor      1513      960      25
fast_reactor      1534      960      50
fast_reactor      1555      960      49
fast_reactor      1576      960      39
fast_reactor      1597      960      51
fast_reactor      1618      960      52
fast_reactor      1639      960      39
fast_reactor      1660      960      27
fast_reactor      1681      960      29
fast_reactor      1702      960      28
fast_reactor      1723      960      29
fast_reactor      1744      960      30
fast_reactor      1765      960      29
fast_reactor      1786      960      31
fast_reactor      1807      960      31
fast_reactor      1828      960      32
fast_reactor      1849      960      32
fast_reactor      1870      960      33
fast_reactor      1891      960      33
fast_reactor      1912      960      34
fast_reactor      1933      960      59
fast_reactor      1954      960      40
fast_reactor      1975      960      41
fast_reactor      1996      960      42
fast_reactor      2017      960      41
fast_reactor      2038      960      44
fast_reactor      2059      960      42
fast_reactor      2080      960      44
fast_reactor      2101      960      47
fast_reactor      2122      960      46
fast_reactor      2143      960      71
fast_reactor      2164      960      72
fast_reactor      2185      960      75
fast_reactor      2206      960      61
fast_reactor      2227      960      76
fast_reactor      2248      960      62
fast_reactor      2269      960      54
fast_reactor      2290      960      51
fast_reactor      2311      960      55
fast_reactor      2332      960      53
fast_reactor      2353      960      57
fast_reactor      2374      960      57
fast_reactor      2395      960      57
init_slow_reactor 1         192      5
init_slow_reactor 1         204      5
init_slow_reactor 1         216      5
init_slow_reactor 1         228      5
init_slow_reactor 1         240      5
init_slow_reactor 1         252      5
init_slow_reactor 1         264      5
init_slow_reactor 1         276      5
init_slow_reactor 1         288      5
init_slow_reactor 1         300      5
init_slow_reactor 1         552      5
init_slow_reactor 1         564      5
init_slow_reactor 1         576      5
init_slow_reactor 1         588      5
init_slow_reactor 1         600      5
init_slow_reactor 1         612      5
init_slow_reactor 1         624      5
init_slow_reactor 1         636      5
init_slow_reactor 1         648      5
init_slow_reactor 1         660      5
slow_separations  180       -1       2
slow_separations  300       -1       1
fast_separations  1         -1       1
fastfab           1         -1       1
repo              1         -1       1
enrichment        1         -1       1
depleted_src      1         -1       1
slow_storage      1         -1       1
fast_storage      1         -1       1
