Time		Case1		Case2		Case3		Case4
1		100800		99000		100800		99000
2		100800		99000		100800		99000
3		100800		99000		100800		99000
4		100800		99000		100800		99000
5		100800		99000		100800		99000
6		100800		99000		100800		99000
7		100800		99000		100800		99000
8		100800		99000		100800		99000
9		100800		99000		100800		99000
10		100800		99000		100800		99000
11		100800		99000		100800		99000
12		100800		99000		100800		99000
13		100800		99000		100800		99000
14		100800		99000		100800		99000
15		100800		99000		100800		99000
16		90000		99000		90000		99000
17		90000		99000		90000		99000
18		90000		99000		90000		99000
19		100800		99000		100800		99000
20		100800		99000		100800		99000
21		100800		99000		100800		99000
22		102960		100800		102960		100800
23		102960		100800		102960		100800
24		102960		100800		102960		100800
25		102960		100800		102960		100800
26		102960		100800		102960		100800
27		102960		100800		102960		100800
28		102960		100800		102960		100800
29		102960		100800		102960		100800
30		102960		100800		102960		100800
31		102960		100800		102960		100800
32		102960		100800		102960		100800
33		102960		100800		102960		100800
34		92160		100800		92160		100800
35		92160		100800		92160		100800
36		92160		100800		92160		100800
37		100800		100800		100800		100800
38		100800		100800		100800		100800
39		100800		100800		100800		100800
40		102960		100800		102960		100800
41		102960		100800		102960		100800
42		102960		100800		102960		100800
43		105120		102600		105120		102600
44		105120		102600		105120		102600
45		105120		102600		105120		102600
46		105120		102600		105120		102600
47		105120		102600		105120		102600
48		105120		102600		105120		102600
49		105120		102600		105120		102600
50		105120		102600		105120		102600
51		105120		102600		105120		102600
52		94320		102600		94320		102600
53		94320		102600		94320		102600
54		94320		102600		94320		102600
55		102960		102600		102960		102600
56		102960		102600		102960		102600
57		102960		102600		102960		102600
58		102960		102600		102960		102600
59		102960		102600		102960		102600
60		102960		102600		102960		102600
61		105120		102600		105120		102600
62		105120		102600		105120		102600
63		105120		102600		105120		102600
64		107280		104400		107280		104400
65		107280		104400		107280		104400
66		107280		104400		107280		104400
67		107280		104400		107280		104400
68		107280		104400		107280		104400
69		107280		104400		107280		104400
70		96480		104400		96480		104400
71		96480		104400		96480		104400
72		96480		104400		96480		104400
73		105120		104400		105120		104400
74		105120		104400		105120		104400
75		105120		104400		105120		104400
76		105120		104400		105120		104400
77		105120		104400		105120		104400
78		105120		104400		105120		104400
79		105120		104400		105120		104400
80		105120		104400		105120		104400
81		105120		104400		105120		104400
82		107280		104400		107280		104400
83		107280		104400		107280		104400
84		107280		104400		107280		104400
85		109440		106200		109440		106200
86		109440		106200		109440		106200
87		109440		106200		109440		106200
88		98640		106200		98640		106200
89		98640		106200		98640		106200
90		98640		106200		98640		106200
91		107280		106200		107280		106200
92		107280		106200		107280		106200
93		107280		106200		107280		106200
94		107280		106200		107280		106200
95		107280		106200		107280		106200
96		107280		106200		107280		106200
97		107280		106200		107280		106200
98		107280		106200		107280		106200
99		107280		106200		107280		106200
100		107280		106200		107280		106200
101		107280		106200		107280		106200
102		107280		106200		107280		106200
103		109440		106200		109440		106200
104		109440		106200		109440		106200
105		109440		106200		109440		106200
106		100800		108000		100800		108000
107		100800		108000		100800		108000
108		100800		108000		100800		108000
109		109440		108000		109440		108000
110		109440		108000		109440		108000
111		109440		108000		109440		108000
112		109440		108000		109440		108000
113		109440		108000		109440		108000
114		109440		108000		109440		108000
115		109440		108000		109440		108000
116		109440		108000		109440		108000
117		109440		108000		109440		108000
118		109440		108000		109440		108000
119		109440		108000		109440		108000
120		109440		108000		109440		108000
121		109440		108000		109440		108000
122		109440		108000		109440		108000
123		109440		108000		109440		108000
124		100800		108000		100800		108000
125		100800		108000		100800		108000
126		100800		108000		100800		108000
127		111600		109800		111600		109800
128		111600		109800		111600		109800
129		111600		109800		111600		109800
130		111600		109800		111600		109800
131		111600		109800		111600		109800
132		111600		109800		111600		109800
133		111600		109800		111600		109800
134		111600		109800		111600		109800
135		111600		109800		111600		109800
136		111600		109800		111600		109800
137		111600		109800		111600		109800
138		111600		109800		111600		109800
139		111600		109800		111600		109800
140		111600		109800		111600		109800
141		111600		109800		111600		109800
142		100800		109800		100800		109800
143		100800		109800		100800		109800
144		100800		109800		100800		109800
145		111600		109800		111600		109800
146		111600		109800		111600		109800
147		111600		109800		111600		109800
148		113760		111600		113760		111600
149		113760		111600		113760		111600
150		113760		111600		113760		111600
151		113760		111600		113760		111600
152		113760		111600		113760		111600
153		113760		111600		113760		111600
154		113760		111600		113760		111600
155		113760		111600		113760		111600
156		113760		111600		113760		111600
157		113760		111600		113760		111600
158		113760		111600		113760		111600
159		113760		111600		113760		111600
160		102960		111600		102960		111600
161		102960		111600		102960		111600
162		102960		111600		102960		111600
163		111600		111600		111600		111600
164		111600		111600		111600		111600
165		111600		111600		111600		111600
166		113760		111600		113760		111600
167		113760		111600		113760		111600
168		113760		111600		113760		111600
169		117000		114300		117000		114300
170		117000		114300		117000		114300
171		117000		114300		117000		114300
172		117000		114300		117000		114300
173		117000		114300		117000		114300
174		117000		114300		117000		114300
175		117000		114300		117000		114300
176		117000		114300		117000		114300
177		117000		114300		117000		114300
178		106200		114300		106200		114300
179		106200		114300		106200		114300
180		106200		114300		106200		114300
181		114840		114300		114840		114300
182		114840		114300		114840		114300
183		114840		114300		114840		114300
184		113760		114300		113760		114300
185		113760		114300		113760		114300
186		113760		114300		113760		114300
187		117000		114300		117000		114300
188		117000		114300		117000		114300
189		117000		114300		117000		114300
190		119160		116100		119160		116100
191		119160		116100		119160		116100
192		119160		116100		119160		116100
193		114660		111600		114660		111600
194		114660		111600		114660		111600
195		114660		111600		114660		111600
196		103860		111600		103860		111600
197		103860		111600		103860		111600
198		103860		111600		103860		111600
199		112500		111600		112500		111600
200		112500		111600		112500		111600
201		112500		111600		112500		111600
202		111420		111600		111420		111600
203		111420		111600		111420		111600
204		111420		111600		111420		111600
205		108000		107100		108000		107100
206		108000		107100		108000		107100
207		108000		107100		108000		107100
208		110160		107100		110160		107100
209		110160		107100		110160		107100
210		110160		107100		110160		107100
211		123120		117900		123120		117900
212		123120		117900		123120		117900
213		123120		117900		123120		117900
214		112320		117900		112320		117900
215		112320		117900		112320		117900
216		112320		117900		112320		117900
217		116460		113400		116460		113400
218		116460		113400		116460		113400
219		116460		113400		116460		113400
220		115380		113400		115380		113400
221		115380		113400		115380		113400
222		115380		113400		115380		113400
223		116460		113400		116460		113400
224		116460		113400		116460		113400
225		116460		113400		116460		113400
226		105660		113400		105660		113400
227		105660		113400		105660		113400
228		105660		113400		105660		113400
229		114120		108900		114120		108900
230		114120		108900		114120		108900
231		114120		108900		114120		108900
232		116280		119700		116280		119700
233		116280		119700		116280		119700
234		116280		119700		116280		119700
235		124920		119700		124920		119700
236		124920		119700		124920		119700
237		124920		119700		124920		119700
238		123840		119700		123840		119700
239		123840		119700		123840		119700
240		123840		119700		123840		119700
241		120420		115200		120420		115200
242		120420		115200		120420		115200
243		120420		115200		120420		115200
244		109620		115200		109620		115200
245		109620		115200		109620		115200
246		109620		115200		109620		115200
247		109620		115200		109620		115200
248		109620		115200		109620		115200
249		109620		115200		109620		115200
250		111780		115200		111780		115200
251		111780		115200		111780		115200
252		111780		115200		111780		115200
253		129960		122400		129960		122400
254		129960		122400		129960		122400
255		129960		122400		129960		122400
256		128880		122400		128880		122400
257		128880		122400		128880		122400
258		128880		122400		128880		122400
259		129960		122400		129960		122400
260		129960		122400		129960		122400
261		129960		122400		129960		122400
262		119160		122400		119160		122400
263		119160		122400		119160		122400
264		119160		122400		119160		122400
265		114660		117900		114660		117900
266		114660		117900		114660		117900
267		114660		117900		114660		117900
268		102780		117900		102780		117900
269		102780		117900		102780		117900
270		102780		117900		102780		117900
271		125460		117900		125460		117900
272		125460		117900		125460		117900
273		125460		117900		125460		117900
274		131940		124200		131940		124200
275		131940		124200		131940		124200
276		131940		124200		131940		124200
277		128520		119700		128520		119700
278		128520		119700		128520		119700
279		128520		119700		128520		119700
280		117720		119700		117720		119700
281		117720		119700		117720		119700
282		117720		119700		117720		119700
283		117720		119700		117720		119700
284		117720		119700		117720		119700
285		117720		119700		117720		119700
286		105840		119700		105840		119700
287		105840		119700		105840		119700
288		105840		119700		105840		119700
289		116460		115200		116460		115200
290		116460		115200		116460		115200
291		116460		115200		116460		115200
292		122940		115200		122940		115200
293		122940		115200		122940		115200
294		122940		115200		122940		115200
295		138060		126900		138060		126900
296		138060		126900		138060		126900
297		138060		126900		138060		126900
298		127260		126900		127260		126900
299		127260		126900		127260		126900
300		127260		126900		127260		126900
301		122760		122400		122760		122400
302		122760		122400		122760		122400
303		122760		122400		122760		122400
304		110880		122400		110880		122400
305		110880		122400		110880		122400
306		110880		122400		110880		122400
307		126000		122400		126000		122400
308		126000		122400		126000		122400
309		126000		122400		126000		122400
310		118440		122400		118440		122400
311		118440		122400		118440		122400
312		118440		122400		118440		122400
313		133560		122400		133560		122400
314		133560		122400		133560		122400
315		133560		122400		133560		122400
316		130320		128700		130320		128700
317		130320		128700		130320		128700
318		130320		128700		130320		128700
319		130320		128700		130320		128700
320		130320		128700		130320		128700
321		130320		128700		130320		128700
322		118440		128700		118440		128700
323		118440		128700		118440		128700
324		118440		128700		118440		128700
325		133560		128700		133560		128700
326		133560		128700		133560		128700
327		133560		128700		133560		128700
328		126000		128700		126000		128700
329		126000		128700		126000		128700
330		126000		128700		126000		128700
331		133560		128700		133560		128700
332		133560		128700		133560		128700
333		133560		128700		133560		128700
334		130320		128700		130320		128700
335		130320		128700		130320		128700
336		130320		128700		130320		128700
337		133560		131400		133560		131400
338		133560		131400		133560		131400
339		133560		131400		133560		131400
340		121680		131400		121680		131400
341		121680		131400		121680		131400
342		121680		131400		121680		131400
343		136800		131400		136800		131400
344		136800		131400		136800		131400
345		136800		131400		136800		131400
346		129240		131400		129240		131400
347		129240		131400		129240		131400
348		129240		131400		129240		131400
349		136800		131400		136800		131400
350		136800		131400		136800		131400
351		136800		131400		136800		131400
352		130320		131400		130320		131400
353		130320		131400		130320		131400
354		130320		131400		130320		131400
355		133560		131400		133560		131400
356		133560		131400		133560		131400
357		133560		131400		133560		131400
358		123840		133200		123840		133200
359		123840		133200		123840		133200
360		123840		133200		123840		133200
361		138960		133200		138960		133200
362		138960		133200		138960		133200
363		138960		133200		138960		133200
364		131400		133200		131400		133200
365		131400		133200		131400		133200
366		131400		133200		131400		133200
367		138960		133200		138960		133200
368		138960		133200		138960		133200
369		138960		133200		138960		133200
370		132480		133200		132480		133200
371		132480		133200		132480		133200
372		132480		133200		132480		133200
373		133560		133200		133560		133200
374		133560		133200		133560		133200
375		133560		133200		133560		133200
376		123840		133200		123840		133200
377		123840		133200		123840		133200
378		123840		133200		123840		133200
379		142200		135900		142200		135900
380		142200		135900		142200		135900
381		142200		135900		142200		135900
382		134640		135900		134640		135900
383		134640		135900		134640		135900
384		134640		135900		134640		135900
385		142200		135900		142200		135900
386		142200		135900		142200		135900
387		142200		135900		142200		135900
388		135720		135900		135720		135900
389		135720		135900		135720		135900
390		135720		135900		135720		135900
391		136800		135900		136800		135900
392		136800		135900		136800		135900
393		136800		135900		136800		135900
394		123840		135900		123840		135900
395		123840		135900		123840		135900
396		123840		135900		123840		135900
397		142200		135900		142200		135900
398		142200		135900		142200		135900
399		142200		135900		142200		135900
400		136800		137700		136800		137700
401		136800		137700		136800		137700
402		136800		137700		136800		137700
403		144360		137700		144360		137700
404		144360		137700		144360		137700
405		144360		137700		144360		137700
406		137880		137700		137880		137700
407		137880		137700		137880		137700
408		137880		137700		137880		137700
409		138960		137700		138960		137700
410		138960		137700		138960		137700
411		138960		137700		138960		137700
412		126000		137700		126000		137700
413		126000		137700		126000		137700
414		126000		137700		126000		137700
415		142200		137700		142200		137700
416		142200		137700		142200		137700
417		142200		137700		142200		137700
418		136800		137700		136800		137700
419		136800		137700		136800		137700
420		136800		137700		136800		137700
421		147870		140580		147870		140580
422		147870		140580		147870		140580
423		147870		140580		147870		140580
424		141390		140580		141390		140580
425		141390		140580		141390		140580
426		141390		140580		141390		140580
427		142470		140580		142470		140580
428		142470		140580		142470		140580
429		142470		140580		142470		140580
430		129510		140580		129510		140580
431		129510		140580		129510		140580
432		129510		140580		129510		140580
433		144360		140580		144360		140580
434		144360		140580		144360		140580
435		144360		140580		144360		140580
436		138150		140580		138150		140580
437		138150		140580		138150		140580
438		138150		140580		138150		140580
439		147870		140580		147870		140580
440		147870		140580		147870		140580
441		147870		140580		147870		140580
442		143820		142560		143820		142560
443		143820		142560		143820		142560
444		143820		142560		143820		142560
445		144900		142560		144900		142560
446		144900		142560		144900		142560
447		144900		142560		144900		142560
448		130590		142560		130590		142560
449		130590		142560		130590		142560
450		130590		142560		130590		142560
451		148140		142560		148140		142560
452		148140		142560		148140		142560
453		148140		142560		148140		142560
454		139230		142560		139230		142560
455		139230		142560		139230		142560
456		139230		142560		139230		142560
457		149220		142560		149220		142560
458		149220		142560		149220		142560
459		149220		142560		149220		142560
460		143820		142560		143820		142560
461		143820		142560		143820		142560
462		143820		142560		143820		142560
463		147060		145440		147060		145440
464		147060		145440		147060		145440
465		147060		145440		147060		145440
466		135450		145440		135450		145440
467		135450		145440		135450		145440
468		135450		145440		135450		145440
469		150300		145440		150300		145440
470		150300		145440		150300		145440
471		150300		145440		150300		145440
472		144090		145440		144090		145440
473		144090		145440		144090		145440
474		144090		145440		144090		145440
475		151380		145440		151380		145440
476		151380		145440		151380		145440
477		151380		145440		151380		145440
478		143820		145440		143820		145440
479		143820		145440		143820		145440
480		143820		145440		143820		145440
481		148410		145440		148410		145440
482		148410		145440		148410		145440
483		148410		145440		148410		145440
484		137610		148320		137610		148320
485		137610		148320		137610		148320
486		137610		148320		137610		148320
487		155160		148320		155160		148320
488		155160		148320		155160		148320
489		155160		148320		155160		148320
490		146250		148320		146250		148320
491		146250		148320		146250		148320
492		146250		148320		146250		148320
493		154890		148320		154890		148320
494		154890		148320		154890		148320
495		154890		148320		154890		148320
496		147330		148320		147330		148320
497		147330		148320		147330		148320
498		147330		148320		147330		148320
499		148410		148320		148410		148320
500		148410		148320		148410		148320
501		148410		148320		148410		148320
502		138960		148320		138960		148320
503		138960		148320		138960		148320
504		138960		148320		138960		148320
505		156240		150300		156240		150300
506		156240		150300		156240		150300
507		156240		150300		156240		150300
508		148680		150300		148680		150300
509		148680		150300		148680		150300
510		148680		150300		148680		150300
511		157320		150300		157320		150300
512		157320		150300		157320		150300
513		157320		150300		157320		150300
514		149760		150300		149760		150300
515		149760		150300		149760		150300
516		149760		150300		149760		150300
517		150840		150300		150840		150300
518		150840		150300		150840		150300
519		150840		150300		150840		150300
520		138960		150300		138960		150300
521		138960		150300		138960		150300
522		138960		150300		138960		150300
523		156240		150300		156240		150300
524		156240		150300		156240		150300
525		156240		150300		156240		150300
526		152190		153180		152190		153180
527		152190		153180		152190		153180
528		152190		153180		152190		153180
529		160830		153180		160830		153180
530		160830		153180		160830		153180
531		160830		153180		160830		153180
532		153270		153180		153270		153180
533		153270		153180		153270		153180
534		153270		153180		153270		153180
535		154350		153180		154350		153180
536		154350		153180		154350		153180
537		154350		153180		154350		153180
538		141120		153180		141120		153180
539		141120		153180		141120		153180
540		141120		153180		141120		153180
541		157590		153180		157590		153180
542		157590		153180		157590		153180
543		157590		153180		157590		153180
544		152190		153180		152190		153180
545		152190		153180		152190		153180
546		152190		153180		152190		153180
547		164340		156060		164340		156060
548		164340		156060		164340		156060
549		164340		156060		164340		156060
550		156780		156060		156780		156060
551		156780		156060		156780		156060
552		156780		156060		156780		156060
553		152010		151560		152010		151560
554		152010		151560		152010		151560
555		152010		151560		152010		151560
556		141480		151560		141480		151560
557		141480		151560		141480		151560
558		141480		151560		141480		151560
559		155250		151560		155250		151560
560		155250		151560		155250		151560
561		155250		151560		155250		151560
562		149040		151560		149040		151560
563		149040		151560		149040		151560
564		149040		151560		149040		151560
565		155340		147060		155340		147060
566		155340		147060		155340		147060
567		155340		147060		155340		147060
568		160920		158940		160920		158940
569		160920		158940		160920		158940
570		160920		158940		160920		158940
571		163350		158940		163350		158940
572		163350		158940		163350		158940
573		163350		158940		163350		158940
574		150120		158940		150120		158940
575		150120		158940		150120		158940
576		150120		158940		150120		158940
577		162090		154440		162090		154440
578		162090		154440		162090		154440
579		162090		154440		162090		154440
580		148680		154440		148680		154440
581		148680		154440		148680		154440
582		148680		154440		148680		154440
583		155340		154440		155340		154440
584		155340		154440		155340		154440
585		155340		154440		155340		154440
586		157770		154440		157770		154440
587		157770		154440		157770		154440
588		157770		154440		157770		154440
589		167490		161820		167490		161820
590		167490		161820		167490		161820
591		167490		161820		167490		161820
592		156960		161820		156960		161820
593		156960		161820		156960		161820
594		156960		161820		156960		161820
595		166230		161820		166230		161820
596		166230		161820		166230		161820
597		166230		161820		166230		161820
598		163170		161820		163170		161820
599		163170		161820		163170		161820
600		163170		161820		163170		161820
601		156330		157320		156330		157320
602		156330		157320		156330		157320
603		156330		157320		156330		157320
604		153270		157320		153270		157320
605		153270		157320		153270		157320
606		153270		157320		153270		157320
607		164340		157320		164340		157320
608		164340		157320		164340		157320
609		164340		157320		164340		157320
610		155610		164700		155610		164700
611		155610		164700		155610		164700
612		155610		164700		155610		164700
613		170730		160200		170730		160200
614		170730		160200		170730		160200
615		170730		160200		170730		160200
