Time		Case1		Case2		Case3		Case4
0		0		0		0		0
1		0		0		0		0
2		0		0		0		0
3		0		0		0		0
4		0		0		0		0
5		0		0		0		0
6		0		0		0		0
7		0		0		0		0
8		0		0		0		0
9		0		0		0		0
10		0		0		0		0
11		0		0		0		0
12		0		0		0		0
13		0		0		0		0
14		0		0		0		0
15		0		0		0		0
16		0		0		0		0
17		0		0		0		0
18		0		0		0		0
19		0		0		0		0
20		0		0		0		0
21		0		0		0		0
22		0		0		0		0
23		0		0		0		0
24		0		0		0		0
25		0		0		0		0
26		0		0		0		0
27		0		0		0		0
28		0		0		0		0
29		0		0		0		0
30		0		0		0		0
31		0		0		0		0
32		0		0		0		0
33		0		0		0		0
34		0		0		0		0
35		0		0		0		0
36		0		0		0		0
37		0		0		0		0
38		0		0		0		0
39		0		0		0		0
40		0		0		0		0
41		0		0		0		0
42		0		0		0		0
43		0		0		0		0
44		0		0		0		0
45		0		0		0		0
46		0		0		0		0
47		0		0		0		0
48		0		0		0		0
49		0		0		0		0
50		0		0		0		0
51		0		0		0		0
52		0		0		0		0
53		0		0		0		0
54		0		0		0		0
55		0		0		0		0
56		0		0		0		0
57		0		0		0		0
58		0		0		0		0
59		0		0		0		0
60		0		0		0		0
61		0		0		0		0
62		0		0		0		0
63		0		0		0		0
64		0		0		0		0
65		0		0		0		0
66		0		0		0		0
67		0		0		0		0
68		0		0		0		0
69		0		0		0		0
70		0		0		0		0
71		0		0		0		0
72		0		0		0		0
73		0		0		0		0
74		0		0		0		0
75		0		0		0		0
76		0		0		0		0
77		0		0		0		0
78		0		0		0		0
79		0		0		0		0
80		0		0		0		0
81		0		0		0		0
82		0		0		0		0
83		0		0		0		0
84		0		0		0		0
85		0		0		0		0
86		0		0		0		0
87		0		0		0		0
88		0		0		0		0
89		0		0		0		0
90		0		0		0		0
91		0		0		0		0
92		0		0		0		0
93		0		0		0		0
94		0		0		0		0
95		0		0		0		0
96		0		0		0		0
97		0		0		0		0
98		0		0		0		0
99		0		0		0		0
100		0		0		0		0
101		0		0		0		0
102		0		0		0		0
103		0		0		0		0
104		0		0		0		0
105		0		0		0		0
106		0		0		0		0
107		0		0		0		0
108		0		0		0		0
109		0		0		0		0
110		0		0		0		0
111		0		0		0		0
112		0		0		0		0
113		0		0		0		0
114		0		0		0		0
115		0		0		0		0
116		0		0		0		0
117		0		0		0		0
118		0		0		0		0
119		0		0		0		0
120		0		0		0		0
121		0		0		0		0
122		0		0		0		0
123		0		0		0		0
124		0		0		0		0
125		0		0		0		0
126		0		0		0		0
127		0		0		0		0
128		0		0		0		0
129		0		0		0		0
130		0		0		0		0
131		0		0		0		0
132		0		0		0		0
133		0		0		0		0
134		0		0		0		0
135		0		0		0		0
136		0		0		0		0
137		0		0		0		0
138		0		0		0		0
139		0		0		0		0
140		0		0		0		0
141		0		0		0		0
142		0		0		0		0
143		0		0		0		0
144		0		0		0		0
145		0		0		0		0
146		0		0		0		0
147		0		0		0		0
148		0		0		0		0
149		0		0		0		0
150		0		0		0		0
151		0		0		0		0
152		0		0		0		0
153		0		0		0		0
154		0		0		0		0
155		0		0		0		0
156		0		0		0		0
157		0		0		0		0
158		0		0		0		0
159		0		0		0		0
160		0		0		0		0
161		0		0		0		0
162		0		0		0		0
163		0		0		0		0
164		0		0		0		0
165		0		0		0		0
166		0		0		0		0
167		0		0		0		0
168		0		0		0		0
169		0		0		0		0
170		0		0		0		0
171		0		0		0		0
172		0		0		0		0
173		0		0		0		0
174		0		0		0		0
175		0		0		0		0
176		0		0		0		0
177		0		0		0		0
178		0		0		0		0
179		0		0		0		0
180		0		0		0		0
181		2006.1420360801606		2006.1420360801606		0		0
182		4012.284072160321		4012.284072160321		0		0
183		6018.426108240482		6018.426108240482		6018.4261106478525		6018.4261106478525
184		8024.568144320642		8024.568144320642		6018.4261106478525		6018.4261106478525
185		9964.34700583301		10030.710180400802		6018.4261106478525		6018.4261106478525
186		11970.489041913172		12036.852216480964		12036.852221295705		12036.852221295705
187		13976.631077993332		14042.994252561124		12036.852221295705		12036.852221295705
188		15982.77311407349		16049.136288641284		12036.852221295705		12036.852221295705
189		17988.915150153654		18055.278324721447		18055.27833194356		18055.27833194356
190		19928.694011666026		20061.42036080161		18055.27833194356		18055.27833194356
191		21934.83604774619		22067.562396881774		18055.27833194356		18055.27833194356
192		23940.978083826354		24073.70443296194		24073.70444259141		24073.70444259141
193		25947.120119906518		26079.846469042102		24073.70444259141		24073.70444259141
194		27953.262155986682		28085.988505122266		24073.70444259141		24073.70444259141
195		29893.041017499054		30092.13054120243		30092.13055323926		30092.13055323926
196		31899.183053579218		32098.27257728259		30092.13055323926		30092.13055323926
197		33905.325089659374		34104.41461336275		30092.13055323926		30092.13055323926
198		35911.46712573953		36110.5566494429		36110.55666388712		36110.55666388712
199		37917.60916181969		38116.698685523064		36110.55666388712		36110.55666388712
200		39857.38802333206		40122.84072160322		36110.55666388712		36110.55666388712
201		41863.530059412216		42128.98275768338		42128.98277453497		42128.98277453497
202		43869.672095492366		44135.124793763534		42128.98277453497		42128.98277453497
203		45875.81413157253		46141.26682984369		42128.98277453497		42128.98277453497
204		47881.95616765269		48147.40886592385		48147.40888518282		48147.40888518282
205		49821.73502916506		50153.550902004004		48147.40888518282		48147.40888518282
206		51827.877065245215		52159.692938084154		48147.40888518282		48147.40888518282
207		53834.01910132537		54165.83497416431		54165.83499583067		54165.83499583067
208		55840.16113740553		56171.977010244475		54165.83499583067		54165.83499583067
209		57846.303173485685		58178.11904632463		54165.83499583067		54165.83499583067
210		59786.08203499806		60184.26108240479		60184.26110647852		60184.26110647852
211		61792.22407107821		62190.403118484945		60184.26110647852		60184.26110647852
212		63798.36610715837		64196.5451545651		60184.26110647852		60184.26110647852
213		65804.50814323853		66202.68719064526		66202.68721712638		66202.68721712638
214		67810.65017931869		68208.82922672541		66202.68721712638		66202.68721712638
215		69750.42904083106		70214.97126280557		66202.68721712638		66202.68721712638
216		71756.57107691122		72221.11329888573		72221.11332777423		72221.11332777423
217		73762.71311299138		74227.25533496588		72221.11332777423		72221.11332777423
218		75768.85514907153		76233.39737104604		72221.11332777423		72221.11332777423
219		77774.99718515169		78239.5394071262		78239.53943842209		78239.53943842209
220		79714.77604666406		80245.68144320635		78239.53943842209		78239.53943842209
221		81720.91808274422		82251.82347928651		78239.53943842209		78239.53943842209
222		83727.06011882437		84257.96551536667		84257.96554906994		84257.96554906994
223		85733.20215490453		86264.10755144682		84257.96554906994		84257.96554906994
224		87739.34419098469		88270.24958752698		84257.96554906994		84257.96554906994
225		89679.12305249705		90276.39162360714		90276.39165971779		90276.39165971779
226		91685.2650885772		92282.5336596873		90276.39165971779		90276.39165971779
227		93691.40712465737		94288.67569576745		90276.39165971779		90276.39165971779
228		95697.54916073753		96294.8177318476		96294.81777036564		96294.81777036564
229		97703.69119681769		98300.95976792776		96294.81777036564		96294.81777036564
230		99643.47005833006		100307.10180400792		96294.81777036564		96294.81777036564
231		101649.61209441021		102313.24384008806		102313.24388101349		102313.24388101349
232		103655.75413049037		104319.38587616823		102313.24388101349		102313.24388101349
233		105661.89616657053		106325.52791224839		102313.24388101349		102313.24388101349
234		107668.03820265068		108331.66994832855		108331.66999166134		108331.66999166134
235		109607.81706416306		110337.81198440869		108331.66999166134		108331.66999166134
236		111613.95910024321		112343.95402048886		108331.66999166134		108331.66999166134
237		113620.10113632337		114350.09605656902		114350.09610230918		114350.09610230918
238		115626.24317240353		116356.23809264916		114350.09610230918		114350.09610230918
239		117632.38520848368		118362.38012872933		114350.09610230918		114350.09610230918
240		119572.16406999606		120368.52216480949		120368.52221295705		120368.52221295705
241		121578.30610607621		122374.66420088965		120368.52221295705		120368.52221295705
242		123584.44814215635		124380.8062369698		120368.52221295705		120368.52221295705
243		125590.59017823653		126386.94827304996		126386.9483236049		126386.9483236049
244		127596.73221431668		128393.09030913012		126386.9483236049		126386.9483236049
245		129536.51107582905		130399.23234521027		126386.9483236049		126386.9483236049
246		131542.65311190923		132405.37438129046		132405.37443425276		132405.37443425276
247		133548.7951479894		134411.51641737064		132405.37443425276		132405.37443425276
248		135554.9371840696		136417.65845345083		132405.37443425276		132405.37443425276
249		137561.07922014978		138423.80048953102		138423.8005449006		138423.8005449006
250		139500.85808166215		140429.9425256112		138423.8005449006		138423.8005449006
251		141507.00011774234		142436.0845616914		138423.8005449006		138423.8005449006
252		143513.14215382253		144442.22659777157		144442.22665554847		144442.22665554847
